Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Real Alcázar de Sevilla,1776038152-10,Civitatis,3/1/2026,No especificado,No especificado,Viajó con hijos mayores,"La visita ha estado muy interesante, recomiendo hacerla porque descubres cosas que no sabrías si haces la visit por tu cuenta.
Julián es muy buen guía, se nota que le gusta su trabajo porque transmite muy bien la información.",España,Residente,Castilla-La Mancha
"Tour por la Catedral, el Alcázar y la Giralda",1775828531-12,Civitatis,12/1/2026,No especificado,No especificado,Viajó en pareja,Nuestra guía Cristina excelente!,España,Residente,No especificado
Tour en autobús por Sevilla,1775826278-1,Civitatis,18/03/2026,No especificado,No especificado,Viajó con hijos mayores,Sin mas,España,Residente,Principado de Asturias
Tour misterios y leyendas de Sevilla,1776039861-3,Civitatis,12/10/2025,No especificado,No especificado,Viajó con hijos pequeños,Nos ha encantado Alvaro contándonos todos los misterios de la ciudad nada más llegar. Nuestra primera vez en Sevilla no podría haber comenzado mejor.,España,Residente,Castilla y León
Catedral de Sevilla,1776037902-8,Civitatis,25/12/2025,No especificado,No especificado,Viajó en pareja,"La visita muy amena y agradable, gracias a nuestra guía Ana.",España,Residente,Principado de Asturias
Real Alcázar de Sevilla,1776038121-11,Civitatis,24/11/2025,No especificado,No especificado,Viajó en pareja,"Excelente. Nuestra guía por el Real Alcázar Carmen, fue sin duda inmejorable. Su trato humano y sus conocimientos de la historia del lugar me maravillaron. Mis felicitaciones para ella. Muchas gracias, de corazón. De una persona que estuvo allí. Un saludo.",España,Residente,Islas Canarias
Free tour por Sevilla,1775829106-18,Civitatis,25/12/2025,No especificado,No especificado,Viajó con hijos pequeños,"Muy bien todo. Casi dos horas sin parar de aprender la historia de Sevilla. Samael con su desparpajo y buen hacer no te deja indiferente. Se le ve que disfruta con lo que hace , poco a poco te engancha con sus explicaciones y se pasan las casi dos horas rapidísimas. Todo un acierto",No especificado,No especificado,No aplica
Real Alcázar de Sevilla,1776038262-5,Civitatis,29/03/2025,No especificado,No especificado,Viajó en pareja,Muy agradable,España,Residente,Comunidad de Madrid
Barrio Santa Cruz,1776039090-12,Civitatis,29/06/2025,No especificado,No especificado,Viajó en pareja,"Nos ha sorprendido sobre manera este tour, super bien explicado por Laura, nos ha trasladado en el tiempo",España,Residente,Andalucía
Paseo por el río Guadalquivir en barco con comida,1775815496-9,Civitatis,6/5/2025,No especificado,No especificado,Viajó en pareja,"Muy bien, el personal excelente, merece la pena",España,Residente,No especificado
Real Alcázar de Sevilla,1776038128-10,Civitatis,10/1/2025,No especificado,No especificado,Viajó en pareja,"Tuvimos de guía a José Manuel y nos encantó. Lo recomiendo al 100%. Se notó que domina el tema a la perfección,nos habló tanto de historia como todos los detalles arquitectónicos y artísticos. Hizo la visita muy amena a pesar del gran contenido de datos que aportó pero para nada resultó pesado ni aburrido. Un 10 de guía.",No especificado,No especificado,No aplica
Paseo por el río Guadalquivir en barco con comida,1775815496-12,Civitatis,3/5/2025,No especificado,No especificado,Viajó en pareja,"Muy agradable la experiencia y el personal de tripulación. La comida nos ha encantado también. Muy recomendable. 
Gracias",España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775829121-9,Civitatis,7/11/2025,No especificado,No especificado,Viajó en pareja,"Estuvo muy bien pero en ocasiones no sé oía bien a la guía, se le escuchaba bajo, estaría bien que utilizarán micros como en otras ocasiones he visto y también opción de recibir recomendaciones de sitios para comer y visitar de la ciudad en email.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828442-14,Civitatis,22/03/2026,No especificado,No especificado,Viajó en pareja,"Se suspendió la actividad de la catedral porque no tenían entradas. A todo el grupo nos hicieron ir a la oficina para la consiguiente reclamación. El tiempo estimado en hacer la actividad lo pasamos reclamando, por cierto me comunicarón que me enviarían un e-mail, el cual todavía no he recibido",España,Residente,Principado de Asturias
Barrio Triana,1776038810-11,Civitatis,1/2/2025,No especificado,No especificado,Viajó con amigos,"Hicimos un tour por Triana con Marta, nuestra guía, y quedamos encantadas. Marta hizo el tour muy ameno y nos explico todo con muchísima claridad, además, en los tramos en los que simplemente nos estábamos desplazando de un sitio a otro no dejaba de contarnos curiosidades e historias. Considero que Marta es una guía fantástica con mucha energía y que se nota que disfruta de su trabajo, además de ser una chica muy agradable. Muy recomendable este tour para conocer Triana.",No especificado,No especificado,No aplica
Barrio Triana,1776038794-13,Civitatis,17/08/2025,No especificado,No especificado,Viajó con hijos mayores,"Fantástica! Nuestra guía, Sara, fue muy clarificadora en todas sus explicaciones, nos ubicó en espacio y tiempo a lo largo de la historia de Sevilla y en especial Triana. Hizo que nuestra experiencia descubriendo el barrio fuera encantadora, apreciando detalles y espacios que pueden pasar desapercibidos y ella, personalmente profesional y muy simpática. Excelente!",No especificado,No especificado,No aplica
Barrio Santa Cruz,1776038989-1,Civitatis,7/2/2025,No especificado,No especificado,Viajó en pareja,"Gigi es encantadora y se ha esforzado mucho todo y la dificultad con el idioma, el tour era en castellano aunque ella domina mejor el francés y el ingles, pero ha estado muy atenta y ha sabido defender su trabajo.
El tour es muy recomendable. Se tiene que hacer si vienes a Sevilla.",No especificado,No especificado,No aplica
Archivo de Indias,1776038432-18,Civitatis,12/11/2025,No especificado,No especificado,Viajó en pareja,"Espectacular, Rubén nos dió un montón de información con rigor histórico que te hace la visita completamente diferente a hacerla por libre.

Sencillamente imprescindible y totalmente recomendable.

Si tuviéramos que repetir, sin duda lo hariamosm",España,Residente,Principado de Asturias
Tour misterios y leyendas de Sevilla,1776039657-18,Civitatis,12/11/2025,No especificado,No especificado,Viajó en pareja,"Muy bien con Antonio, con esa fina linea entra misterios o leyenda con la historia.

Sin duda recomendable",España,Residente,Principado de Asturias
Free tour por Sevilla,1775829065-16,Civitatis,12/1/2026,No especificado,No especificado,Viajó en pareja,"Daniel un gran guía.

Nos explicó todo de manera muy clara y detallada",España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039590-10,Civitatis,13/01/2026,No especificado,No especificado,Viajó en pareja,"El tour es muy recomendable.
Antonio es un gran guía.

Como comentario solo añadiría que veo muy poco necesario pasar tanto tiempo en la universidad pero aún así el tour es muy muy recomendable",España,Residente,Comunidad de Madrid
Plaza de Toros,1775819009-19,Civitatis,18/04/2025,No especificado,No especificado,Viajó en pareja,"Una increíble experiencia bastante completa y muy interesante. Gracias a nuestra guía, María, hemos podido aprender muchísimas cosas nuevas y curiosidades tanto de la Maestranza como del barrio de Santa Cruz. Merece la pena hacer el tour.",España,Residente,Castilla-La Mancha
Paseo por el río Guadalquivir en barco con guía,1775815618-9,Civitatis,9/10/2025,No especificado,No especificado,No especificado,"José nuestro guía maravilloso, un viaje en barco muy recomendable",España,Residente,Galicia
Parque María Luisa,1775826790-12,Civitatis,7/10/2025,No especificado,No especificado,No especificado,"Julián nuestro guía nos hizo el tour muy ameno pese a ser un grupo muy reducido, nos explicó muchas anécdotas y nos dió muy buenas recomendaciones",España,Residente,Galicia
Tour misterios y leyendas de Sevilla,1776039907-2,Civitatis,30/03/2025,No especificado,No especificado,Viajó en pareja,"Nuestro guia en el tour, Daniel, es muy, muy carismatico, lo que hizo la experiencia súper agradable y amena, aprendimos mucho, con mucho humor, nos echamos unas risas y la pasamos muy bien, ¡Fue maravilloso 100% recomendado!",España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1776038100-19,Civitatis,14/03/2026,No especificado,No especificado,Viajó con amigos,"Estuvo bien, bien explicado....pero nos quedamos con ganas de ver los jardines....
Se nos hizo un poco pesado tanta explicación del interior y nada de los jardines.",España,Residente,Comunidad Foral de Navarra
Real Alcázar de Sevilla,1776038262-12,Civitatis,23/03/2025,No especificado,No especificado,Viajó en pareja,"Muy recomendable, hemos estado muy agusto",España,Residente,Comunidad Valenciana
"Tour por la Catedral, el Alcázar y la Giralda",1775828531-17,Civitatis,11/1/2026,No especificado,No especificado,Viajó en pareja,Bien explicada y a una marcha muy adecuada.,España,Residente,Cataluña
Tour misterios y leyendas de Sevilla,1776039590-16,Civitatis,6/1/2026,No especificado,No especificado,Viajó en pareja,Muy buena la Atención de Antonio y muy amenas sus explicaciones.,España,Residente,Islas Canarias
Barrio Triana,1776038766-18,Civitatis,16/01/2026,No especificado,No especificado,Viajó en pareja,El pulpo Triana muy bien y la guía Marta también muy bien ha sido un día bastante apreciado,España,Residente,No especificado
Archivo de Indias,1776038464-4,Civitatis,27/12/2025,No especificado,No especificado,Viajó con hijos mayores,Nuestra guía Cristina muy amena.,España,Residente,País Vasco
Barrio Santa Cruz,1776039155-3,Civitatis,1/4/2025,No especificado,No especificado,Viajó en pareja,Estuvo muy bien el tour. El guía muy bien preparado,España,Residente,Islas Baleares
Barrio Triana,1776038810-7,Civitatis,16/02/2026,No especificado,No especificado,Viajó con hijos mayores,"Marta es una guia excepcional e hizo un tour muy completo, nos explicó la historia del barrio y un montón de curiosidades y detalles adicionales. Siempre dispuesta a aclarar cualquier duda o pregunta.
Triana es un barrio bullicioso y lleno de vida y nuestro grupo era bastante grande, por eso no le doy la máxima puntuación. En mi opinión, los grupos deberían ser bastante más reducidos para aprovechar mejor la actividad.",No especificado,No especificado,No aplica
Paseo por el río Guadalquivir en kayak,1775816283-13,Civitatis,27/08/2025,No especificado,No especificado,Viajó con amigos,"Fue genial, fui con mi prima y la verdad esque es una experiencia super divertida.",España,Residente,País Vasco
Free tour por Sevilla,1775828951-5,Civitatis,13/02/2026,No especificado,No especificado,No especificado,Muy amena y con información histórica sobre la ciudad,España,Residente,No especificado
Archivo de Indias,1776038425-9,Civitatis,22/01/2026,No especificado,No especificado,Viajó en pareja,"La visita fue genial, totalmente recomendable.",España,Residente,Andalucía
Free tour por Sevilla,1775828823-10,Civitatis,20/03/2026,No especificado,No especificado,Viajó solo,"Buena organización por parte de la empresa y el guía que me asignaron muy bueni: simpático, con conocimientos sólidos de la ciudad y su historia y accesible en todo momento. 
Buena experiencia, lo recomiendo.",España,Residente,Castilla y León
